flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.delay,arrival.scheduled,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2021-03-29,active,,,Afonso Pena International Airport,America/Sao_Paulo,CWB,SBCT,1,7,1.0,2021-03-29T09:10:00+00:00,2021-03-29T09:10:00+00:00,2021-03-29T09:11:00+00:00,2021-03-29T09:11:00+00:00,2021-03-29T09:11:00+00:00,Congonhas International Airport,America/Sao_Paulo,CGH,SBSP,A,07,,,2021-03-29T10:02:00+00:00,2021-03-29T10:02:00+00:00,,,,LATAM Airlines,LA,LAN,3473,LA3473,LAN3473,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Afonso Pena International Airport,America/Sao_Paulo,CWB,SBCT,1,7,1.0,2021-03-29T09:10:00+00:00,2021-03-29T09:10:00+00:00,2021-03-29T09:11:00+00:00,2021-03-29T09:11:00+00:00,2021-03-29T09:11:00+00:00,Congonhas International Airport,America/Sao_Paulo,CGH,SBSP,A,07,,,2021-03-29T10:02:00+00:00,2021-03-29T10:02:00+00:00,,,,Azul,AD,AZU,6090,AD6090,AZU6090,,latam airlines,la,lan,3473,la3473,lan3473,,,,,,,,,,,,
2021-03-29,active,,,Lianyungang,Asia/Shanghai,LYG,ZSLG,T1,1-4,4.0,2021-03-29T20:40:00+00:00,2021-03-29T20:40:00+00:00,2021-03-29T20:45:00+00:00,2021-03-29T20:45:00+00:00,2021-03-29T20:45:00+00:00,Dalian,Asia/Shanghai,DLC,ZYTL,1,,,,2021-03-29T22:00:00+00:00,2021-03-29T22:00:00+00:00,,,,China Eastern Airlines,MU,CES,2776,MU2776,CES2776,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,1,15.0,2021-03-29T19:30:00+00:00,2021-03-29T19:30:00+00:00,2021-03-29T19:45:00+00:00,2021-03-29T19:45:00+00:00,2021-03-29T19:45:00+00:00,Shuangliu,Asia/Shanghai,CTU,ZUUU,2,,,,2021-03-29T21:05:00+00:00,2021-03-29T21:05:00+00:00,,,,China Eastern Airlines,MU,CES,5851,MU5851,CES5851,,,,,,,,B-5295,B737,B737,78092B,2021-03-29T11:45:45+00:00,25.1,102.91,2598.12,227.0,253.724,0.0,False
2021-03-29,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,35,27.0,2021-03-29T19:30:00+00:00,2021-03-29T19:30:00+00:00,2021-03-29T19:57:00+00:00,2021-03-29T19:57:00+00:00,2021-03-29T19:57:00+00:00,Nanning,Asia/Shanghai,NNG,ZGNN,T2,,,,2021-03-29T21:00:00+00:00,2021-03-29T21:00:00+00:00,,,,China Eastern Airlines,MU,CES,5791,MU5791,CES5791,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,52,23.0,2021-03-29T19:25:00+00:00,2021-03-29T19:25:00+00:00,2021-03-29T19:48:00+00:00,2021-03-29T19:48:00+00:00,2021-03-29T19:48:00+00:00,,,JHG,ZPJH,D,,2,16.0,2021-03-29T20:30:00+00:00,2021-03-29T20:30:00+00:00,,,,China Eastern Airlines,MU,CES,5907,MU5907,CES5907,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,38,40.0,2021-03-29T19:25:00+00:00,2021-03-29T19:25:00+00:00,2021-03-29T20:04:00+00:00,2021-03-29T20:04:00+00:00,2021-03-29T20:04:00+00:00,Jinjiang,Asia/Shanghai,JJN,ZSQZ,T3,,,1.0,2021-03-29T22:10:00+00:00,2021-03-29T22:10:00+00:00,,,,Xiamen Airlines,MF,CXA,8410,MF8410,CXA8410,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,28,41.0,2021-03-29T19:20:00+00:00,2021-03-29T19:20:00+00:00,2021-03-29T20:00:00+00:00,2021-03-29T20:00:00+00:00,2021-03-29T20:00:00+00:00,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,B8,8.0,2021-03-29T22:05:00+00:00,2021-03-29T22:05:00+00:00,,,,China Eastern Airlines,MU,CES,5548,MU5548,CES5548,,,,,,,,B-6007,A320,A320,79A050,2021-03-29T12:15:57+00:00,25.74,103.96,8961.12,57.0,898.22,0.0,False
2021-03-29,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,23,55.0,2021-03-29T19:20:00+00:00,2021-03-29T19:20:00+00:00,2021-03-29T20:14:00+00:00,2021-03-29T20:14:00+00:00,2021-03-29T20:14:00+00:00,Wuxi,Asia/Shanghai,WUX,ZSWX,T2,,6,15.0,2021-03-29T22:20:00+00:00,2021-03-29T22:20:00+00:00,,,,China Eastern Airlines,MU,CES,2986,MU2986,CES2986,,,,,,,,B-2230,A320,A320,79A048,2021-03-29T12:46:41+00:00,27.07,106.29,9479.28,62.0,1048.23,0.0,False
2021-03-29,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,59,54.0,2021-03-29T19:15:00+00:00,2021-03-29T19:15:00+00:00,2021-03-29T20:09:00+00:00,2021-03-29T20:09:00+00:00,2021-03-29T20:09:00+00:00,Zhengzhou,Asia/Shanghai,CGO,ZHCC,2,,,11.0,2021-03-29T21:55:00+00:00,2021-03-29T21:55:00+00:00,,,,Suparna Airlines,Y8,YZR,7556,Y87556,YZR7556,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,15,20.0,2021-03-29T19:15:00+00:00,2021-03-29T19:15:00+00:00,2021-03-29T19:35:00+00:00,2021-03-29T19:35:00+00:00,2021-03-29T19:35:00+00:00,Mangshi,Asia/Shanghai,LUM,ZPLX,T2,,2,11.0,2021-03-29T20:20:00+00:00,2021-03-29T20:20:00+00:00,,,,China Eastern Airlines,MU,CES,5760,MU5760,CES5760,,,,,,,,B-5817,B737,B737,780CD6,2021-03-29T11:41:13+00:00,25.08,102.53,4533.9,302.0,468.556,0.0,False
2021-03-29,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,34,35.0,2021-03-29T19:15:00+00:00,2021-03-29T19:15:00+00:00,2021-03-29T19:50:00+00:00,2021-03-29T19:50:00+00:00,2021-03-29T19:50:00+00:00,Jinjiang,Asia/Shanghai,JJN,ZSQZ,T3,,,9.0,2021-03-29T21:55:00+00:00,2021-03-29T21:55:00+00:00,,,,Kunming Airlines,KY,KNA,8231,KY8231,KNA8231,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,21,35.0,2021-03-29T19:10:00+00:00,2021-03-29T19:10:00+00:00,2021-03-29T19:44:00+00:00,2021-03-29T19:44:00+00:00,2021-03-29T19:44:00+00:00,Fenghuang International (Phoenix International),Asia/Shanghai,SYX,ZJSY,T1,,2,15.0,2021-03-29T21:05:00+00:00,2021-03-29T21:05:00+00:00,,,,China Eastern Airlines,MU,CES,5771,MU5771,CES5771,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,3G,8.0,2021-03-29T20:20:00+00:00,2021-03-29T20:20:00+00:00,2021-03-29T20:27:00+00:00,2021-03-29T20:27:00+00:00,2021-03-29T20:27:00+00:00,Baoshan,Asia/Shanghai,BSD,ZPBS,,,,,2021-03-29T22:20:00+00:00,2021-03-29T22:20:00+00:00,,,,Gestair,G5,GES,8976,G58976,GES8976,,kunming airlines,ky,kna,8332,ky8332,kna8332,,,,,,,,,,,,
2021-03-29,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,1,15.0,2021-03-29T19:30:00+00:00,2021-03-29T19:30:00+00:00,2021-03-29T19:45:00+00:00,2021-03-29T19:45:00+00:00,2021-03-29T19:45:00+00:00,Shuangliu,Asia/Shanghai,CTU,ZUUU,2,,,,2021-03-29T21:05:00+00:00,2021-03-29T21:05:00+00:00,,,,Xiamen Airlines,MF,CXA,3312,MF3312,CXA3312,,china eastern airlines,mu,ces,5851,mu5851,ces5851,,,,,,,,,,,,
