flight_date,flight_status,departure.airport,departure.timezone,arrival.airport,arrival.timezone,arrival.terminal,airline.name,flight.number
2021-03-29,active,Afonso Pena International Airport,America/Sao_Paulo,Congonhas International Airport,America - Sao_Paulo,A,LATAM Airlines,3473.0
2021-03-29,active,Afonso Pena International Airport,America/Sao_Paulo,Congonhas International Airport,America - Sao_Paulo,A,Azul,6090.0
2021-03-29,active,Lianyungang,Asia/Shanghai,Dalian,Asia - Shanghai,1,China Eastern Airlines,2776.0
2021-03-29,active,Kunming,Asia/Shanghai,Shuangliu,Asia - Shanghai,2,China Eastern Airlines,5851.0
2021-03-29,active,Kunming,Asia/Shanghai,Nanning,Asia - Shanghai,T2,China Eastern Airlines,5791.0
2021-03-29,active,Kunming,Asia/Shanghai,,,D,China Eastern Airlines,5907.0
2021-03-29,active,Kunming,Asia/Shanghai,Jinjiang,Asia - Shanghai,T3,Xiamen Airlines,8410.0
2021-03-29,active,Kunming,Asia/Shanghai,Hangzhou,Asia - Shanghai,3,China Eastern Airlines,5548.0
2021-03-29,active,Kunming,Asia/Shanghai,Wuxi,Asia - Shanghai,T2,China Eastern Airlines,2986.0
2021-03-29,active,Kunming,Asia/Shanghai,Zhengzhou,Asia - Shanghai,2,Suparna Airlines,7556.0
2021-03-29,active,Kunming,Asia/Shanghai,Mangshi,Asia - Shanghai,T2,China Eastern Airlines,5760.0
2021-03-29,active,Kunming,Asia/Shanghai,Jinjiang,Asia - Shanghai,T3,Kunming Airlines,8231.0
2021-03-29,active,Kunming,Asia/Shanghai,Fenghuang International (Phoenix International),Asia - Shanghai,T1,China Eastern Airlines,5771.0
2021-03-29,active,Chongqing Jiangbei International,Asia/Shanghai,Baoshan,Asia - Shanghai,,Gestair,8976.0
2021-03-29,active,Kunming,Asia/Shanghai,Shuangliu,Asia - Shanghai,2,Xiamen Airlines,3312.0
2021-03-29,active,Lester B. Pearson International,America/Toronto,San Antonio International,America - Chicago,A,Air Canada,2343.0
2021-03-29,active,Lakefront,America/Chicago,Orlando International,America - New_York,A,empty,
2021-03-29,active,La Aurora,America/Guatemala,Miami International Airport,America - New_York,N,AeroUnion,4068.0
2021-03-29,active,Kars,Europe/Istanbul,Sabiha Gokcen,Europe - Istanbul,I,Turkish Airlines,7025.0
2021-03-29,active,Xiamen,Asia/Shanghai,Lianshui,Asia - Shanghai,T3,China Southern Airlines,4059.0
2021-03-29,active,Gaziantep,Europe/Istanbul,Ataturk Airport,Europe - Istanbul,2,Turkish Airlines,2223.0
2021-03-29,active,Gaziantep,Europe/Istanbul,Ataturk Airport,Europe - Istanbul,2,Air Serbia,8201.0
2021-03-29,active,Bangalore International Airport,Asia/Kolkata,Amausi,Asia - Kolkata,2,IndiGo,451.0
2021-03-29,active,Bangalore International Airport,Asia/Kolkata,Netaji Subhas Chandra,Asia - Kolkata,T1,IndiGo,714.0
2021-03-29,active,Bangalore International Airport,Asia/Kolkata,Varanasi,Asia - Kolkata,2,IndiGo,968.0
2021-03-29,active,Bangalore International Airport,Asia/Kolkata,Bajpe,Asia - Kolkata,1,SpiceJet,3008.0
2021-03-29,active,Bangalore International Airport,Asia/Kolkata,Doha International,Asia - Qatar,3,Qatar Airways,8003.0
